71 75 81	40 43 47	33 39 41
69 73 37	38 41 49	32 34 75
51 54 60	31 33 38	25 26 32
66 69 48	45 46 48	43 45 75
69 72 80	46 48 52	24 26 31
40 42 43	32 34 38	30 32 48
70 81 88	33 39 47	22 29 40
65 70 54	43 45 48	34 37 73
67 76 78	42 45 83	37 39 46
64 71 81	38 42 47	35 41 48
63 67 70	44 48 70	23 28 35
38 44 51	57 65 71	25 28 35
47 51 75	67 72 46	41 42 65
58 59 62	80 84 89	51 54 58
54 61 83	82 85 55	48 52 91
37 41 48	51 62 69	78 84 91
27 37 88	34 42 47	74 81 65
34 38 44	43 47 55	66 72 78
35 42 48	42 47 51	62 66 71
47 51 53	56 57 90	72 78 62
27 33 64	38 39 46	49 55 61
34 38 41	40 44 51	51 61 69
